Category: All categories

Month,Cupcake: (Worldwide)
2004-01,4
2004-02,6
2004-03,4
2004-04,6
2004-05,5
2004-06,6
2004-07,5
2004-08,6
2004-09,5
2004-10,9
2004-11,7
2004-12,7
2005-01,7
2005-02,8
2005-03,8
2005-04,8
2005-05,8
2005-06,8
2005-07,7
2005-08,8
2005-09,8
2005-10,12
2005-11,9
2005-12,8
2006-01,9
2006-02,11
2006-03,10
2006-04,12
2006-05,11
2006-06,10
2006-07,10
2006-08,12
2006-09,12
2006-10,14
2006-11,12
2006-12,13
2007-01,11
2007-02,15
2007-03,15
2007-04,16
2007-05,17
2007-06,17
2007-07,19
2007-08,18
2007-09,17
2007-10,23
2007-11,19
2007-12,19
2008-01,20
2008-02,24
2008-03,25
2008-04,24
2008-05,25
2008-06,24
2008-07,25
2008-08,26
2008-09,26
2008-10,33
2008-11,27
2008-12,27
2009-01,29
2009-02,36
2009-03,35
2009-04,36
2009-05,36
2009-06,36
2009-07,36
2009-08,39
2009-09,37
2009-10,44
2009-11,38
2009-12,37
2010-01,36
2010-02,47
2010-03,47
2010-04,45
2010-05,48
2010-06,49
2010-07,55
2010-08,63
2010-09,59
2010-10,62
2010-11,56
2010-12,55
2011-01,57
2011-02,72
2011-03,70
2011-04,72
2011-05,68
2011-06,71
2011-07,69
2011-08,76
2011-09,75
2011-10,85
2011-11,78
2011-12,81
2012-01,82
2012-02,96
2012-03,90
2012-04,93
2012-05,90
2012-06,92
2012-07,89
2012-08,86
2012-09,91
2012-10,100
2012-11,84
2012-12,84
2013-01,81
2013-02,99
2013-03,98
2013-04,88
2013-05,88
2013-06,84
2013-07,88
2013-08,84
2013-09,85
2013-10,96
2013-11,84
2013-12,84
2014-01,82
2014-02,97
2014-03,94
2014-04,87
2014-05,85
2014-06,79
2014-07,79
2014-08,79
2014-09,81
2014-10,92
2014-11,85
2014-12,77
2015-01,72
2015-02,86
2015-03,78
2015-04,75
2015-05,75
2015-06,71
2015-07,73
2015-08,69
2015-09,70
2015-10,82
2015-11,71
2015-12,68
2016-01,66
2016-02,77
2016-03,70
2016-04,65
2016-05,66
2016-06,62
2016-07,61
2016-08,58
2016-09,61
2016-10,66
2016-11,58
2016-12,57
2017-01,55
2017-02,71
2017-03,60
2017-04,59
2017-05,58
2017-06,55
2017-07,51
2017-08,53
2017-09,51
2017-10,60
2017-11,54
2017-12,51
2018-01,50
2018-02,59
2018-03,58
2018-04,50
2018-05,52
2018-06,47
2018-07,46
2018-08,47
2018-09,48
2018-10,53
2018-11,48
2018-12,49
2019-01,49
2019-02,56
2019-03,50
2019-04,48
2019-05,47
2019-06,44
2019-07,41
2019-08,44
2019-09,44
2019-10,55
2019-11,45
2019-12,44
2020-01,41
2020-02,52
2020-03,44
2020-04,57
2020-05,58
2020-06,52
2020-07,47
2020-08,46
2020-09,44
2020-10,50
2020-11,43
2020-12,44
2021-01,42
2021-02,54
2021-03,47
2021-04,44
2021-05,45
2021-06,40
2021-07,38
2021-08,39
2021-09,37
